name,full_name,trip_count,trip_list,stop_count,stop_list,id,direction_id
MF-9,Krishnaraja Pura Govt Hospital → Hoodi Metro Station,3,"[ ""07:40:00"", ""09:10:00"", ""17:20:00"" ]",9,"[ ""Krishnaraja Pura Govt Hospital"", ""KR Pura Market"", ""Devasandra"", ""Venugopala Temple Devasandra"", ""Chikka Devasandra KR Puram"", ""Ayyappa Nagara Sadaramangala"", ""Ayyappa Nagara Muneshwara Temple Sadaramangala"", ""Hoodi"", ""Hoodi Metro Station"" ]","1",0
MF-9,Hoodi Metro Station → Krishnaraja Pura Govt Hospital,3,"[ ""08:25:00"", ""16:35:00"", ""18:05:00"" ]",9,"[ ""Hoodi Metro Station"", ""Hoodi"", ""Ayyappa Nagara Muneshwara Temple Sadaramangala"", ""Ayyappa Nagara  Sadaramangala"", ""Chikka Devasandra KR Puram"", ""Venugopala Temple Devasandra"", ""Devasandra"", ""KR Pura Market"", ""Krishnaraja Pura Govt Hospital"" ]","1",1
344-A,KR Market (Kalasipalya) → Haragadde,5,"[ ""06:55:00"", ""08:50:00"", ""12:50:00"", ""17:20:00"", ""21:00:00"" ]",50,"[ ""KR Market (Kalasipalya)"", ""Makkala Koota"", ""Basappa Circle"", ""Lalbagh Main Gate"", ""Lalbagh Hopcoms"", ""7th Cross Wilson Garden"", ""Lakkasandra"", ""Nimhans Hospital"", ""Bengaluru Dairy Circle"", ""Muneshwara Devasthana"", ""Hosur Road Junction"", ""St Johns Hospital"", ""Koramangala Water Tank"", ""Kudure Mukha Colony"", ""Krupanidhi College"", ""Madivala"", ""Roopena Agrahara"", ""Bommanahalli"", ""Deccan"", ""Kalyanamantapa (Oxford College)"", ""Hongasandra"", ""Galaxy Paradise (Tent)"", ""St Francis School"", ""Canara Bank Begur"", ""Vishwapriya Layout Cross"", ""Aralimara (PK Kalyana Mantapa )"", ""Beguru Lake"", ""Beguru"", ""Hanuman Temple Beguru"", ""Nobel Residency"", ""Radiant Redwood Apartment Koppa Road"", ""Beguru Nice Road Junction"", ""St Marys School"", ""Vaddarapalya"", ""Mylasandra Cross"", ""Mylasandra Road Junction"", ""Jalli Machine"", ""Hullahalli Cross"", ""Bingipura Cross"", ""Dharmapura"", ""Koppa"", ""Koppa Gate"", ""Harapanahalli"", ""Jigani Double Road"", ""Jigani Tent"", ""Jigani Bus Stand"", ""Jigani APC Circle"", ""Jigani KEB"", ""Madapatna"", ""Haragadde"" ]","10",0
344-A,Haragadde → KR Market (Kalasipalya),5,"[ ""05:15:00"", ""08:35:00"", ""11:05:00"", ""15:00:00"", ""19:10:00"" ]",47,"[ ""Haragadde"", ""Madapatna"", ""Jigani KEB"", ""Jigani APC Circle"", ""Jigani Bus Stand"", ""Jigani Tent"", ""Jigani Double Road"", ""Harapanahalli"", ""Koppa Gate"", ""Koppa"", ""Dharmapura"", ""Bingipura Cross"", ""Hullahalli Cross"", ""Jalli Machine"", ""Mylasandra Road Junction"", ""Mylasandra Cross"", ""Vaddarapalya"", ""St Marys School"", ""Beguru Nice Road Junction"", ""Radiant Redwood Apartment Koppa Road"", ""Nobel Residency"", ""Hanuman Temple Beguru"", ""Beguru"", ""Beguru Lake"", ""Aralimara (PK Kalyana Mantapa )"", ""Vishwapriya Layout Cross"", ""Canara Bank Begur"", ""St Francis School"", ""Galaxy Paradise (Tent)"", ""Hongasandra"", ""Kalyanamantapa (Oxford College)"", ""Deccan"", ""Bommanahalli"", ""Roopena Agrahara"", ""Madivala"", ""Ayyappaswamy Temple Madivala"", ""St Johns Hospital"", ""Hosur Road junction"", ""Muneshwara Devasthana"", ""Bengaluru Dairy Circle"", ""Nimhans Hospital"", ""Lakkasandra"", ""7th Cross Wilson Garden"", ""Lalbagh Hopcoms"", ""Lalbagh Main Gate"", ""Town Hall"", ""KR Market (Kalasipalya)"" ]","10",1
KBS-1K KBS-D41G,Kempegowda Bus Station → Depot-41 Gate,11,"[ ""10:00:00"", ""10:50:00"", ""11:40:00"", ""16:20:00"", ""16:35:00"", ""16:55:00"", ""17:20:00"", ""17:35:00"", ""18:00:00"", ""18:00:00"", ""20:00:00"" ]",38,"[ ""Kempegowda Bus Station"", ""Maharani College"", ""KR Circle"", ""St Marthas Hospital"", ""Corporation"", ""St Joseph's Indian School\/ Malya Hospital"", ""Richmond Circle"", ""St Joseph College"", ""Mayohall"", ""Garuda Mall"", ""Hosmat Hospital"", ""Military Accounts Office"", ""Commando Hospital"", ""Domlur"", ""Domlur Flyover"", ""Kodihalli"", ""NAL\/Manipal Hospital"", ""Murugeshpalya"", ""Konena Agrahara"", ""HAL Main Gate"", ""Helicopter Division"", ""HAL Kalyana Mantap"", ""Yamalur Cross"", ""Marathahalli"", ""Marathahalli Bridge"", ""Munnekolalu Cross (Spice Garden)"", ""Kundalahalli Gate"", ""Thubarahalli"", ""Siddapura"", ""Ramagondanahalli"", ""Varthur Kodi"", ""Varthuru Govt College"", ""Varthuru"", ""Varthuru Police Station"", ""Vinayakanagara Varthur"", ""Gunjuru"", ""Hosahalli"", ""Depot-41 Gate"" ]","100",0
KBS-1K KBS-D41G,Depot-41 Gate → Kempegowda Bus Station,8,"[ ""07:01:00"", ""07:21:00"", ""07:21:00"", ""08:01:00"", ""08:16:00"", ""14:01:00"", ""14:47:00"", ""18:31:00"" ]",34,"[ ""Depot-41 Gate"", ""Hosahalli"", ""Gunjuru"", ""Vinayakanagara Varthur"", ""Varthuru Police Station"", ""Varthuru"", ""Varthuru Govt College"", ""Varthur Kodi"", ""Ramagondanahalli"", ""Siddapura"", ""Thubarahalli"", ""Kundalahalli Gate"", ""Munnekolalu Cross (Spice Garden)"", ""Marathahalli Bridge"", ""Marathahalli"", ""Yamalur Cross"", ""HAL Kalyana Mantap"", ""Helicopter Division"", ""HAL Main Gate"", ""Konena Agrahara"", ""Murugeshpalya"", ""NAL Manipal Hospital"", ""Kodihalli"", ""Domlur Flyover"", ""Domlur"", ""Commando Hospital"", ""Military Accounts Office"", ""Kendriya Vidyalaya ASC Center"", ""Life Style (Sacred Heart School)"", ""Richmond Circle"", ""Pallavi Talkies"", ""Corporation"", ""Mysore Bank"", ""Kempegowda Bus Station"" ]","100",1
507-K,Krishnaraja Pura Govt Hospital → Chikka Banavara,2,"[ ""10:05:00"", ""13:25:00"" ]",34,"[ ""Krishnaraja Pura Govt Hospital"", ""ITI Colony Gate"", ""Tin Factory"", ""Kasthurinagara"", ""B Channasandra Bridge(Ramamurthy Nagara Ring Road)"", ""Vijaya Bank Colony Ring Road"", ""Horamavu"", ""Babusabpalya"", ""80 feet Road Kalyananagara"", ""Kalyananagara"", ""Hennur Junction"", ""HBR Layout"", ""Nagawara Junction"", ""Manyatha Tech Park"", ""Veerannapalya"", ""Kempapura"", ""Hebbala Bridge"", ""Bhadrappa Layout"", ""Devinagara Cross"", ""Kuvempu Circle"", ""BEL Circle"", ""State Bank of India"", ""BEL Market"", ""HMT Club House"", ""Gangamma Circle"", ""WIMAC Junction"", ""Abbigere Cross"", ""Abbigere Dinne"", ""Abbigere"", ""Kempegowda Garden"", ""Kere Guddadahalli"", ""Gangadhara Kalyana Mantapa"", ""Dasappanapalya"", ""Chikka Banavara"" ]","101",0
507-K,Chikka Banavara → Krishnaraja Pura Govt Hospital,3,"[ ""08:00:00"", ""11:45:00"", ""15:30:00"" ]",35,"[ ""Chikka Banavara"", ""Dasappanapalya"", ""Gangadhara Kalyana Mantapa"", ""Kere Guddadahalli"", ""Kempegowda Garden"", ""Abbigere"", ""Abbigere Dinne"", ""Abbigere Cross"", ""WIMAC Junction"", ""Ashoka Polytechnic"", ""Gangamma Circle"", ""HMT Club House"", ""BEL Market 1"", ""State Bank of India"", ""BEL Circle"", ""Kuvempu Circle"", ""Devinagara Cross"", ""Bhadrappa Layout"", ""Hebbala Bridge"", ""Kempapura"", ""Veerannapalya"", ""Manyatha Tech Park"", ""Nagawara Junction"", ""HBR Layout"", ""Hennur Junction"", ""Kalyananagara"", ""80 feet Road Kalyananagara"", ""Babusabpalya"", ""Horamavu"", ""Vijaya Bank Colony Ring Road"", ""B Channasandra Bridge(Ramamurthy Nagara Ring Road)"", ""Kasthurinagara"", ""Tin Factory"", ""ITI Colony Gate"", ""Krishnaraja Pura Govt Hospital"" ]","101",1
401-AR,Depot-45 Gate → Yeshawanthapura Railway Station,6,"[ ""07:50:00"", ""10:45:00"", ""12:55:00"", ""15:15:00"", ""17:50:00"", ""20:20:00"" ]",19,"[ ""Depot-45 Gate"", ""MS Palya"", ""SBI Bank"", ""Jalahalli East"", ""Kendriya Vidyalaya"", ""Gangamma Circle"", ""HMT Club House"", ""BEL Market 1"", ""State Bank of India"", ""BEL Circle"", ""Gokula"", ""Mathikere"", ""MS Ramaiah College"", ""Diwanarapalya"", ""Ayyappa Temple Yashawanthapura"", ""Yeshawanthapura Tollgate"", ""Yeshawanthapura"", ""Yeshawanthapura Market"", ""Yeshawanthapura Railway Station"" ]","102",0
401-AR,Yeshawanthapura Railway Station → Yelahanka Old Town,6,"[ ""07:25:00"", ""09:05:00"", ""11:50:00"", ""14:05:00"", ""16:20:00"", ""19:05:00"" ]",30,"[ ""Yeshawanthapura Railway Station"", ""Yeshawanthapura Circle"", ""Ayyappa Temple Yashawanthapura"", ""Diwanarapalya"", ""MS Ramaiah College"", ""Mathikere"", ""Gokula"", ""BEL Circle"", ""State Bank of India"", ""BEL Market"", ""HMT Club House"", ""Gangamma Circle"", ""Kendriya Vidyalaya"", ""Jalahalli East"", ""SBI Bank"", ""MS Palya"", ""Depot-45 Gate"", ""Jalli Machine"", ""Chikka Bettahalli"", ""Bettahalli Layout"", ""Thirumala Dhaba"", ""Atturu Layout"", ""Mother Dairy Cross Yalahanka"", ""Yelahanka Satellite Town"", ""Chikka Bommasandra Cross"", ""Sharavathi Hotel"", ""Sheshadripuram College"", ""NES Office"", ""Yelahanka Santhe Circle"", ""Yelahanka Old Town"" ]","102",1
